result	x	y	cls_subject1	cls_p1	cls_subject2	cls_p2	cls_subject3	cls_p3	covid	KAKEN	freq_word	csize
100_	-3.5023378439597925	-2.205001961921181	2700:Medicine	0.96875	3000:Pharmacology, Toxicology and Pharmaceutics	0.03125			FALSE	FALSE	migraine, treatment, phase, acute, episodic	21
1001_	0.0504654433113586	-1.6777741975812286	2500:Materials Science	0.23125	1600:Chemistry	0.203125	2200:Engineering	0.15625	FALSE	FALSE	imaging, nir-ii, exosomes, detection, vivo	96
10021_	-2.764688004223916	1.959408387889494	1400:Business, Management and Accounting	0.40625	3300:Social Sciences	0.21875	1700:Computer Science	0.15625	FALSE	FALSE	social, influencer, media, instagram, brand	13
10095_	0.7336910122636989	0.2949923330710202	2300:Environmental Science	0.585714285714286	2700:Medicine	0.2	1600:Chemistry	0.0571428571428571	FALSE	FALSE	bacterial, biofilm, marine, microbial, microplastics	19
1013_	2.9334938118322706	-0.5264603007650047	2500:Materials Science	0.309090909090909	2100:Energy	0.290909090909091	1600:Chemistry	0.163636363636364	FALSE	TRUE	carbon, hard, storage, sodium, sodium-ion	16
10251_	-3.1690910892572504	-1.0904863362994293	2700:Medicine	1					FALSE	TRUE	pulmonary, hypertension, arterial, clinical, disease	10
1028_	0.83620417299962	-1.5088269779353913	2500:Materials Science	0.409090909090909	2200:Engineering	0.272727272727273	1600:Chemistry	0.113636363636364	FALSE	TRUE	adhesion, hydrogel, adhesion:, adhesive, adhesives	11
1029_	1.968992586360234	-0.9275484708254341	2500:Materials Science	0.272277227722772	2200:Engineering	0.163366336633663	1600:Chemistry	0.143564356435644	FALSE	FALSE	solar, absorber, based, photocatalytic, cells	58
1031_	0.24952186886211464	-1.4330117776978317	2500:Materials Science	0.387243735763098	1600:Chemistry	0.138952164009112	2200:Engineering	0.136674259681093	FALSE	FALSE	therapy, cancer, enhanced, tumor, chemodynamic	99
10323_	-3.1371741367771273	-2.6025873296861484	2400:Immunology and Microbiology	0.4	1300:Biochemistry, Genetics and Molecular Biology	0.266666666666667	1000:Multidisciplinary	0.1	FALSE	FALSE	hiv, hiv-1, reservoir, distinct, latent	11
1036_	0.20428161072792714	-1.9068863168092356	1600:Chemistry	0.277227722772277	1500:Chemical Engineering	0.227722772277228	2500:Materials Science	0.207920792079208	FALSE	FALSE	photodynamic, therapy, aggregation-induced, design, efficient	33
10388_	0.4241148813125155	-0.11725088352499163	1100:Agricultural and Biological Sciences	0.285714285714286	1500:Chemical Engineering	0.2	1600:Chemistry	0.2	FALSE	FALSE	nanocarriers, compounds, bioactive, food, loading	14
1039_	1.9454394594262314	-1.3518569490010266	2500:Materials Science	0.41	2200:Engineering	0.2	2100:Energy	0.14	FALSE	FALSE	batteries, lithium<u+2013>sulfur, polysulfide, li<u+2013>s, conversion	55
10406_	-1.9845865034526669	1.9610973600955737	2300:Environmental Science	0.53125	3300:Social Sciences	0.25	1300:Biochemistry, Genetics and Molecular Biology	0.03125	FALSE	FALSE	urban, street, learning, greenery, greenness	10
1043_	2.8578335871628013	-2.624371767983678	2500:Materials Science	0.387096774193548	1600:Chemistry	0.193548387096774	3100:Physics and Astronomy	0.193548387096774	FALSE	FALSE	phosphor, application, backlight, color, display	10
1046_	2.4051033383746834	-1.2640895615936094	2500:Materials Science	0.293577981651376	1600:Chemistry	0.220183486238532	2100:Energy	0.220183486238532	FALSE	FALSE	exchange, anion, fuel, membranes, membrane	30
10497_	-2.7950546337884057	-3.2582792394174	2700:Medicine	0.808510638297872	1300:Biochemistry, Genetics and Molecular Biology	0.106382978723404	3100:Physics and Astronomy	0.0425531914893617	FALSE	FALSE	flash, irradiation, dose, rate, proton	17
1051_	1.0165401678650732	-1.1024629232012466	1500:Chemical Engineering	0.243831640058055	2500:Materials Science	0.222060957910015	1600:Chemistry	0.156748911465893	FALSE	TRUE	photocatalytic, evolution, hydrogen, enhanced, co2	198
10542_	-2.193729574159721	-2.2382052025413843	1300:Biochemistry, Genetics and Molecular Biology	0.392857142857143	2700:Medicine	0.285714285714286	2400:Immunology and Microbiology	0.107142857142857	FALSE	TRUE	itaconate, metabolite, anti-inflammatory, gapdh, glycolysis	11
1059_	0.02839808091479243	-1.0221717699460944	2500:Materials Science	0.233870967741935	2200:Engineering	0.145161290322581	1500:Chemical Engineering	0.129032258064516	FALSE	TRUE	sweat, wearable, monitoring, analysis, detection	37
1063_	1.1034386346869722	-2.1463914453495416	2500:Materials Science	0.38	1600:Chemistry	0.24	1500:Chemical Engineering	0.16	FALSE	FALSE	covalent, organic, photodynamic, therapy, framework	13
1070_	2.1366316632096143	-1.1643636530532704	2500:Materials Science	0.3	1600:Chemistry	0.166666666666667	1000:Multidisciplinary	0.1	FALSE	FALSE	catalysis, fuel, oxygen, reduction, cell	11
